기간	구분	사망자수(명)	사망자수(명)	사망자수(명)	사망률(십만명당)	사망률(십만명당)	사망률(십만명당)
기간	구분	계	남자	여자	계	남자	여자
2019	합계	837	260	577	8.7	5.6	11.8
2019	종로구	9	3	6	6.1	4.2	8
2019	중구	10	2	8	8.2	3.3	12.9
2019	용산구	25	6	19	11.4	5.7	16.9
2019	성동구	20	7	13	6.7	4.8	8.5
2019	광진구	19	8	11	5.5	4.7	6.1
2019	동대문구	30	9	21	8.8	5.3	12.3
2019	중랑구	35	15	20	8.9	7.7	10.1
2019	성북구	29	9	20	6.7	4.3	9
2019	강북구	34	11	23	10.9	7.2	14.5
2019	도봉구	43	7	36	13	4.3	21.2
2019	노원구	52	16	36	9.8	6.2	13.1
2019	은평구	56	18	38	11.8	7.9	15.5
2019	서대문구	23	8	15	7.6	5.5	9.5
2019	마포구	26	12	14	7.1	6.9	7.3
2019	양천구	36	11	25	7.9	4.9	10.8
2019	강서구	46	18	28	7.8	6.3	9.3
2019	구로구	32	14	18	8	7.1	8.9
2019	금천구	23	8	15	10	6.9	13.3
2019	영등포구	34	11	23	9.4	6.1	12.7
2019	동작구	34	12	22	8.7	6.3	11
2019	관악구	43	18	25	8.7	7.3	10.2
2019	서초구	33	5	28	7.8	2.5	12.7
2019	강남구	46	5	41	8.7	2	14.8
2019	송파구	55	14	41	8.3	4.4	12
2019	강동구	44	13	31	10.3	6.2	14.4
