"치매센터명","치매센터유형","소재지도로명주소","소재지지번주소","위도","경도","설립년월","건축물면적","부대시설정보","의사인원수","간호사인원수","사회복지사인원수","기타인원현황","운영기관명","운영기관대표자명","운영기관전화번호","운영위탁일자","주요치매관리프로그램소개","관리기관전화번호","관리기관명","데이터기준일자","제공기관코드","제공기관기관명","제공기관명","작업일시"
"관악구치매안심센터","치매안심센터","서울특별시 관악구 봉천동 관악로 145 관악구청 3동","서울특별시 관악구 봉천동 1570-1","37.4782106746","126.9515012441","2021-11","495.73","사무실(1) 상담실(2)+진료실(1)+프로그램실(3)+가족카페(1) 기타(난곡치매안심분소)","3","8","3","작업치료사(3)","서울특별시 관악구보건소","최정화","02-879-4910","","치매조기검진 치매예방 및 등록관리  저소득층 치매의료비 지원 실종예방서비스 지원  인지건강센터 및 치매환자 쉼터 운영  치매환자 가족교육 및 가족모임 운영","02-879-7184","서울특별시 관악구보건소","2021-03-10","","","","2021-04-14 17:59:40.0"
"서대문구치매안심센터","치매안심센터","서울특별시 서대문구 연희로 290","서울특별시 서대문구 홍은2동 425-3","37.5829278185","126.9364456613","2020-12","417.37","음악치료실 미술치료실 검진실","1","10","5","7","서대문구 치매지원센터","하정희","02-379-0183","2019-02-01","힐링건강교실 실버아카데미 치매가족교육","02-330-1738","서대문구보건소","2020-05-20","","","","2021-04-14 17:59:40.0"
"중구치매안심센터","치매안심센터","서울특별시 중구 청구로8길 22","서울특별시 중구 신당동 304-734","37.56130448","127.013682","2020-06","576","상담실(1) 프로그램실(1) 진료실(1) 강당(1)","1","7","3","작업치료사(2)","국립중앙의료원","이종윤","02-2238-3400","2017-06-01","치매선별검진 치매치료비지원 치매등록관리 치매가족모임 인지건강프로그램","02-3396-6373","서울특별시 중구청","2021-03-09","","","","2021-04-14 17:59:40.0"
"강북구치매지원센터","치매안심센터","서울특별시 강북구 삼양로476 스마트빌딩 1층 치매안심센터 기억키움쉼터","서울특별시 강북구 수유동 322-14 치매안심센터 기억키움쉼터","37.6458081237","127.015664","2019-03","85.24","사무실프로그램실검진실","0","1","0","3","강북구치매지원센터","박건우","02-990-9830","2009-07-28","경도치매군 인지재활 프로그램 조기검진 조호물품 사례관리 봉사단체운영및지역자원연계 등","02-901-7755","강북구보건소 지역보건과","2020-09-17","","","","2021-04-14 17:59:40.0"
"강남구치매안심센터","치매안심센터","서울특별시 강남구 선릉로108길 27","서울특별시 강남구 삼성동 113-26","37.5103117","127.0463776","2009-12","903.24","사무실(1)+강당(1)+다목적홀(1)+진료실(1)+인지검사실(2)+회의실(1)+상담실(1)+창고(1)+세탁실(1)+프로그램실(4)+화장실(5)","2","7","3","7","삼성서울병원","권오정","02-3410-2114","2020-01-01","치매조기선별검진 및 정밀검진 인지건강프로그램 및 쉼터 운영 등","02-3423-7123","서울특별시청 강남구보건소","2021-02-25","","","","2021-04-14 17:59:40.0"
"노원구치매안심센터","치매안심센터","서울특별시 노원구 노해로437 노원구청 5층","서울특별시 노원구 상계동 701-1번지 노원구청 5층","37.654126","127.056798","2009-12","","기억키움학교","1","12","6","작업치료사 6","인제대학교 상계백병원","이동원","02-911-7778","2019-01-01","치매선별검진 치매예방 및 등록관리 사업 치매치료비 지원사업 등","02-2116-4353","서울특별시 노원구청","2020-07-14","","","","2021-04-14 17:59:40.0"
"영등포구치매안심센터","치매안심센터","서울특별시 영등포구 당산로 29길 9 3층?4층?6층","서울특별시 영등포구 당산동3가 407번지 3층?4층?6층","37.525994","126.893979","2009-12","775.83","검사실(4)+진료실(1)+프로그램실(5)+쉼터(2)+카페(1)+사무실(1)+화장실 각층(2)","1","10","5","작업치료사(5)+음악치료사(1)+운동처방사(1)","가톨릭대학교 여의도성모병원","나혜란","02-831-0855","2018-12-01","치매예방 및 인식개선(교육 홍보)치매조기검진(선별검진 정밀검진)치매예방등록사업(상담 및 사례관리 환자 및 가족 지원 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적 물적 자원 연계)치매통합관리 정보시스템 구축 운영","02-2670-4752","영등포구 보건소(건강증진과)","2020-09-14","","","","2021-04-14 17:59:40.0"
"서울특별시 중랑구치매안심센터","치매안심센터","서울특별시 중랑구 동일로 608 화성빌딩 2~3층","서울특별시 중랑구 면목동 161-34","37.5846436762","127.0801244","2009-11","460","사무실(1)+강당(1)+진료실(1)+인지검사실(4)+상담실(1)+창고(2)+)+프로그램실(3)","1","10","4","3","서울북부병원","김정화","02-435-7540","2017-01-01","치매조기검진 치매예방등록관리 지역사회자원강화","02-2094-0852","서울특별시청 중랑구보건소","2020-12-09","","","","2021-04-14 17:59:40.0"
"용산구치매안심센터","치매안심센터","서울특별시 용산구 녹사평대로 150","","37.5324394","126.9904783","2009-10","574.82","사무실(1)+교육실(1)+프로그램실(3)+신체계측실(1)+검진실(3)+진료실(1)+센터장실(1)+가족카페(1)+기억키움학교(1)","1","9","5","작업치료사(3)+음악치료사(1)","순천향대학교 서울병원","김성구","02-790-1541","2009-10-19","조기검진사업 치매환자등록관리사업 치매환자쉼터 운영사업 가족모임운영 교육 및 인지프로그램운영 치매예방관리사업 홍보사업 치매파트너 양성 지역자원강화사업 등","02-2199-8082","용산구보건소","2020-02-17","","","","2021-04-14 17:59:40.0"
"동작구치매안심센터","치매안심센터","서울특별시 동작구 남부순환로 2025","서울특별시 동작구 사당동 1049-11","37.4764304412","126.9736106","2009-10","988.2","인지건강센터 교육실 검진실 상담실 등","1","12","3","7","서울특별시 보라매병원","김병관","02-598-6088","2009-10-05","치매조기검진 예방등록관리 치매인식개선 지역사회역량강화","02-820-9443","서울특별시 동작구","2020-10-21","","","","2021-04-14 17:59:40.0"
